Athlete,Profile Link 1,Profile Link 2,event,time,,,,position,,,,venue,meeting,date,venue-link,category
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,1ML,5:11,,,,11,L3,,,Edinburgh,Self Transcendence Relay (3 x 1),27 Jul 16,http://powerof10.info/results/results.aspx?meetingid=176861&event=1ML&venue=Edinburgh&date=27-Jul-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4KXCL,15:23,,,,31,L3,,,Livingston,Scottish East District Relay Championships,8 Oct 16,http://powerof10.info/results/results.aspx?meetingid=181297&event=4KXCL&venue=Livingston&date=8-Oct-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,parkrun,18:00,,,,9,,,,Edinburgh Silverknowes,Edinburgh parkrun # 336,9 Apr 16,http://powerof10.info/results/results.aspx?meetingid=167862&event=parkrun&venue=Edinburgh+Silverknowes&date=9-Apr-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,3.165ML,18:10,,,,37,L10,,,Sutton Coldfield,ERRA National Men's 12-Stage Relays,16 Apr 16,http://powerof10.info/results/results.aspx?meetingid=163661&event=3.165ML&venue=Sutton+Coldfield&date=16-Apr-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4M,23:32,,,,35,,,,Edinburgh,Portobello Promathon 4,1 Jan 16,http://powerof10.info/results/results.aspx?meetingid=155415&event=4M&venue=Edinburgh&date=1-Jan-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,SHORT5M,28:11,,,,48,,,,Kinghorn,Black Rock 5,3 Jun 16,http://powerof10.info/results/results.aspx?meetingid=164468&event=SHORT5M&venue=Kinghorn&date=3-Jun-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,8.1KXC,32:17,,,,80,,,,Broxburn,Scottish East District League,16 Jan 16,http://powerof10.info/results/results.aspx?meetingid=148125&event=8.1KXC&venue=Broxburn&date=16-Jan-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,12KXC,49:59,,,,199,,,,Callendar Park,Scottish National Championships,27 Feb 16,http://powerof10.info/results/results.aspx?meetingid=148132&event=12KXC&venue=Callendar+Park&date=27-Feb-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,20M,2:15:23,,,,13,,,,Edinburgh - North Berwick,Edinburgh to North Berwick 20,7 May 16,http://powerof10.info/results/results.aspx?meetingid=169996&event=20M&venue=Edinburgh+-+North+Berwick&date=7-May-16,V35
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,25:21,,,,25,,,,Paxton,Scottish Borders League,10 Jan 16,http://powerof10.info/results/results.aspx?meetingid=148222&event=ZXC&venue=Paxton&date=10-Jan-16,V35
